maxtempC,mintempC,totalSnow_cm,sunHour,AQI_Explained
24,15,0,11.6,Very unhealthy
24,16,0,8.6,Very unhealthy
25,17,0,8.7,Very unhealthy
26,18,0,8.7,Hazardous
25,17,0,8.7,Very unhealthy
22,17,0,7.2,Very unhealthy
26,18,0,8.7,Very unhealthy
21,14,0,8.7,Very unhealthy
20,11,0,8.7,Hazardous
17,15,0,4.1,Hazardous
19,14,0,7.2,Very unhealthy
18,14,0,7.2,Very unhealthy
14,10,0,5.6,Unhealthy
18,9,0,8.7,Very unhealthy
20,10,0,8.7,Hazardous
19,15,0,4.1,Hazardous
24,18,0,7.2,Very unhealthy
26,19,0,8.7,Very unhealthy
25,16,0,4.1,Unhealthy
18,14,0,4.1,Very unhealthy
15,11,0,5.6,Hazardous
16,9,0,7.2,Hazardous
18,13,0,7.1,Hazardous
17,14,0,3.9,Very unhealthy
17,13,0,5.5,Hazardous
18,13,0,5.5,Hazardous
20,12,0,8.7,Hazardous
21,16,0,3.9,Hazardous
17,15,0,3.9,Hazardous
17,14,0,3.9,Very unhealthy
14,14,0,3.9,Unhealthy
15,14,0,3.9,Very unhealthy
17,15,0,3.9,Very unhealthy
19,17,0,3.9,Very unhealthy
17,15,0,3.8,Unhealthy
14,11,0,3.8,Very unhealthy
8,5,0,5.5,Unhealthy
5,0,0,8.7,Very unhealthy
6,-1,0,7.1,Hazardous
14,6,0,7.1,Very unhealthy
13,9,0,3.8,Hazardous
16,10,0,7.1,Hazardous
17,12,0,3.8,Hazardous
13,8,0,5.4,Hazardous
13,6,0,8.7,Hazardous
10,4,0,8.7,Hazardous
7,4,0,3.8,Hazardous
11,4,0,8.7,Hazardous
13,6,0,8.7,Hazardous
14,7,0,5.4,Hazardous
16,10,0,3.8,Very unhealthy
13,11,0,3.8,Very unhealthy
11,6,0,5.4,Very unhealthy
12,5,0,8.7,Hazardous
10,7,0,3.8,Hazardous
9,6,0,7.1,Hazardous
10,5,0,8.7,Hazardous
7,2,0,8.7,Hazardous
5,0,0,8.7,Hazardous
3,1,0,8.7,Hazardous
11,5,0,5.4,Hazardous
11,6,0,5.4,Very unhealthy
9,6,0,8.7,Very unhealthy
16,10,0,7.1,Hazardous
12,9,0,3.8,Hazardous
10,8,0,3.8,Hazardous
11,6,0,8.7,Hazardous
13,5,0,8.7,Hazardous
11,5,0,3.9,Hazardous
8,3,0,8.7,Hazardous
9,5,0,7.1,Very unhealthy
12,4,0,8.7,Hazardous
10,4,0,8.7,Hazardous
12,3,0,8.7,Hazardous
8,4,0,5.5,Hazardous
12,4,0,10.2,Hazardous
12,3,0,10.2,Hazardous
17,9,0,11.6,Very unhealthy
17,9,0,7.4,Very unhealthy
19,13,0,6,Very unhealthy
16,9,0,10.3,Hazardous
17,7,0,10.5,Very unhealthy
15,7,0,12.5,Hazardous
12,9,0,9.2,Hazardous
14,6,0,12.5,Very unhealthy
11,5,0,11.8,Very unhealthy
14,5,0,11.8,Unhealthy
15,2,0,11.8,Very unhealthy
17,5,0,12.6,Hazardous
19,7,0,12.6,Hazardous
23,10,0,12.7,Hazardous
20,13,0,9.2,Hazardous
16,11,0,9.2,Hazardous
20,10,0,12.7,Hazardous
20,12,0,10.6,Hazardous
16,12,0,8,Hazardous
18,10,0,12.8,Unhealthy
18,12,0,10.6,Unhealthy
21,13,0,9.3,Very unhealthy
18,11,0,10.6,Hazardous
21,12,0,12.8,Hazardous
